slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
21,765.6666666666666,2.1135864652887393,3.184347355113821,0.9770205488226728,BNA,2026-06-11,rule_of_thumb
22,686.3666666666667,2.101019632731416,3.187232345271535,1.0058449247173826,BNA,2026-06-11,rule_of_thumb
23,688.3333333333334,2.428127466592858,3.6560687353204804,1.1549594494982853,BNA,2026-06-11,rule_of_thumb
24,751.9666666666667,1.8188467794536043,2.8525592915366755,1.0101880659085325,BNA,2026-06-11,rule_of_thumb
25,792.3,2.00410432606221,3.131302153702916,0.8542324565862564,BNA,2026-06-11,rule_of_thumb
26,800.4,1.4728454909881636,2.6238939552637226,0.8020981344676396,BNA,2026-06-11,rule_of_thumb
27,815.0333333333333,0.8873415157404644,1.8014498952135247,0.5750080379728352,BNA,2026-06-11,rule_of_thumb
28,828.2,1.0043026045437806,1.761944053168808,0.4566089473842477,BNA,2026-06-11,rule_of_thumb
29,839.0,1.2936755382899936,2.273578282146909,0.4550790315088333,BNA,2026-06-11,rule_of_thumb
30,760.0333333333333,1.5821506955130744,2.7032169440024294,0.6432727608479646,BNA,2026-06-11,rule_of_thumb
31,650.3666666666667,1.0451991003590027,2.084738925343527,0.6067888817694945,BNA,2026-06-11,rule_of_thumb
32,526.2666666666667,1.344582223178084,2.427189766702628,0.5752750297072592,BNA,2026-06-11,rule_of_thumb
33,391.3333333333333,2.586482095129221,4.220475806293947,1.0334415507675199,BNA,2026-06-11,rule_of_thumb
34,282.53333333333336,3.0268486747235506,4.5133432598031025,1.1383976365630453,BNA,2026-06-11,rule_of_thumb
35,306.2,1.855650444112954,3.390142131833781,0.7450074580650639,BNA,2026-06-11,rule_of_thumb
36,325.43333333333334,1.3320830229315084,2.7620354451242393,0.8319793041610001,BNA,2026-06-11,rule_of_thumb
37,260.8,0.9865246483868025,2.3548583023502068,0.7023365460796042,BNA,2026-06-11,rule_of_thumb
38,98.33333333333333,1.250567959305717,2.6999188938925687,0.732842887226668,BNA,2026-06-11,rule_of_thumb
39,2.1333333333333333,0.09979381484526459,0.27106788810103916,0.30263582161511793,BNA,2026-06-11,rule_of_thumb
40,0.0,0.0,0.0,0.0,BNA,2026-06-11,rule_of_thumb
41,0.0,0.0,0.0,0.0,BNA,2026-06-11,rule_of_thumb
42,0.0,0.0,0.0,0.0,BNA,2026-06-11,rule_of_thumb
43,0.0,0.0,0.0,0.0,BNA,2026-06-11,rule_of_thumb
