airport,date,scenario,plan,cost,p95_wait,p95_wait_mc_halfwidth,max_wait,miss_share,miss_share_from_queueing,meets_target
BNA,2026-06-21,as planned,optimised,40320.0,2.4230258501886244,0.3113185239355863,5.872799413630466,0.08338929087916377,0.0027609023801883955,True
BNA,2026-06-21,as planned,rule_of_thumb,35280.0,4.592105138813571,0.458160187926417,8.335167669013655,0.0913764422755927,0.010472642908995355,True
BNA,2026-06-21,as planned,flat_feasible,62560.0,5.141306326552764,0.8968674946495215,6.8806238863341305,0.08575368582499546,0.004635397966029886,True
BNA,2026-06-21,as planned,peak_everywhere,69920.0,0.6602795313542354,0.26831905526813815,1.977211663190485,0.0809040002904033,0.00023548847757249905,True
BNA,2026-06-21,as planned,optimised_plus10,43520.0,0.6553511032164893,0.060078800019744825,4.123955456036064,0.0812971107610487,0.00027614247267195393,True
BNA,2026-06-21,demand +10%,optimised,40320.0,13.937904597529153,1.1682788777662785,16.759437258424075,0.11984986216109819,0.03895548916999315,True
BNA,2026-06-21,demand +10%,rule_of_thumb,35280.0,290.7731505900534,51.15609853455719,813.692019599304,0.4341478436009854,0.3534814536053517,False
BNA,2026-06-21,demand +10%,flat_feasible,62560.0,14.271983032719936,1.1839946977192224,16.3131936030244,0.09992250565561976,0.019328889387960006,True
BNA,2026-06-21,demand +10%,peak_everywhere,69920.0,3.9687893359481037,0.8028959700164527,5.733747011789823,0.08424127547847253,0.003433637703901607,True
BNA,2026-06-21,demand +10%,optimised_plus10,43520.0,2.1509155720422415,0.25823398972914235,5.181037632378326,0.08298088615543178,0.0020407237433526146,True
BNA,2026-06-21,service 15% slower,optimised,40320.0,43.81426497550489,4.405055927716988,47.10351790550575,0.25326289318668005,0.1723518076899166,False
BNA,2026-06-21,service 15% slower,rule_of_thumb,35280.0,870.8170633926779,65.82080109240157,1428.4099133517232,0.587684905220068,0.506466698168701,False
BNA,2026-06-21,service 15% slower,flat_feasible,62560.0,20.97281793910399,1.3375932900188354,23.224548902409616,0.12057116831831578,0.03924230088308022,False
BNA,2026-06-21,service 15% slower,peak_everywhere,69920.0,7.48661208127467,1.105418375619684,9.164757636194635,0.08876446886021522,0.007925261802873522,True
BNA,2026-06-21,service 15% slower,optimised_plus10,43520.0,4.51715003716829,0.6220622942447238,9.144223348687392,0.08896649788599666,0.007682963189202531,True
BNA,2026-06-21,1 lane down 2h at peak,optimised,40320.0,3.5684539851673196,0.3702247592808767,7.036065296775778,0.08625012087294946,0.005596465553414068,True
BNA,2026-06-21,1 lane down 2h at peak,rule_of_thumb,35280.0,9.222496759592199,1.3382569195820604,12.410601793721543,0.10543628702970312,0.02443957996664392,True
BNA,2026-06-21,1 lane down 2h at peak,flat_feasible,62560.0,7.915554372203184,0.8917885945678864,9.630550725129714,0.08940538550943732,0.008256175600409506,True
BNA,2026-06-21,1 lane down 2h at peak,peak_everywhere,69920.0,1.19411734984918,0.4308117962282541,2.694714093963813,0.08135996918419537,0.0006765695478157552,True
BNA,2026-06-21,1 lane down 2h at peak,optimised_plus10,43520.0,0.7335547994117472,0.08730871641986068,4.268389399258897,0.08138227234238943,0.0003695446756125954,True
